date,body,status,sign,stationary,primary_scoring,bonus_eligible,influence_weight
2011-06-03,Neptune,starts,Pisces,True,False,True,85.0
2011-06-13,Saturn,ends,Libra,True,True,,
2011-07-10,Uranus,starts,Aries,True,False,True,90.0
2011-08-03,Mercury,starts,Virgo,False,True,,
2011-08-27,Mercury,ends,Leo,False,True,,
2011-08-30,Jupiter,starts,Taurus,True,True,,
2011-09-17,Pluto,ends,Capricorn,True,False,True,95.0
2011-11-10,Neptune,ends,Aquarius,True,False,True,85.0
2011-11-24,Mercury,starts,Sagittarius,False,True,,
2011-12-10,Uranus,ends,Aries,True,False,True,90.0
2011-12-14,Mercury,ends,Sagittarius,False,True,,
2011-12-26,Jupiter,ends,Taurus,True,True,,
2012-01-24,Mars,starts,Virgo,True,True,,
2012-02-08,Saturn,starts,Libra,True,True,,
2012-03-12,Mercury,starts,Aries,False,True,,
2012-04-04,Mercury,ends,Pisces,True,True,,
2012-04-11,Pluto,starts,Capricorn,True,False,True,95.0
2012-04-14,Mars,ends,Virgo,True,True,,
2012-05-16,Venus,starts,Gemini,False,True,,
2012-06-05,Neptune,starts,Pisces,True,False,True,85.0
2012-06-25,Saturn,ends,Libra,True,True,,
2012-06-28,Venus,ends,Gemini,False,True,,
2012-07-13,Uranus,starts,Aries,True,False,True,90.0
2012-07-15,Mercury,starts,Leo,False,True,,
2012-08-08,Mercury,ends,Leo,False,True,,
2012-09-18,Pluto,ends,Capricorn,True,False,True,95.0
2012-10-05,Jupiter,starts,Gemini,True,True,,
2012-11-07,Mercury,starts,Sagittarius,False,True,,
